repoName_path,total_sloc,repo
b-repositories/DL/csharp/ConvNetSharp,16620,ConvNetSharp
b-repositories/DL/csharp/SiaNet,248467,SiaNet
b-repositories/DL/csharp/KelpNet,21045,KelpNet
b-repositories/DL/csharp/MyCaffe,180353,MyCaffe
b-repositories/DL/csharp/RNNSharp,6316,RNNSharp
b-repositories/DL/csharp/SharpNet,27593,SharpNet
b-repositories/DL/csharp/TensorShader,149199,TensorShader
b-repositories/DL/csharp/keras-sharp,10751,keras-sharp
b-repositories/DL/csharp/CeNiN,1438,CeNiN
b-repositories/DL/csharp/Seq2SeqSharp,18088,Seq2SeqSharp
b-repositories/DL/csharp/Vortex,5769,Vortex
b-repositories/DL/csharp/FaceONNX,2263,FaceONNX
b-repositories/DL/csharp/NeuralNetwork.NET,12201,NeuralNetwork.NET
b-repositories/DL/csharp/Keras.NET,5454,Keras.NET
